,,クモハ100,,クモハ101,,モハ100,,モハ101,,,
,,クハ100,,クハ101,,サハ100,,サハ101,,,
所属,,車番,新製年月日,製造所,配置区,,転属年月日,新区,廃車年月日,,
,,,改造年月日,改造所,配置区,改造前車番,,,改造年月日,改造後車番,
クモハ100,,,,,,,,,,,
国,○,クモハ101-147,1962.11.24,日本車両,品川,,1967.12.27,津田沼,1983.02.08,,
国,東,クモハ101-148,1962.11.24,日本車両,品川,,1967.10.31,津田沼,1990.02.28,,
,,,,,,,1986.09.01,習志野,,,
国,○,クモハ101-149,1962.12.14,日本車両,品川,,1967.03.25,池袋,1983.08.10,,
,,,,,,,1969.04.04,中野,,,
国,○,クモハ101-150,1962.11.16,汽車会社,品川,,1967.12.26,池袋,1987.03.30,,
,,,,,,,1969.03.16,津田沼,,,
,,,,,,,1972.09.19,中原,,,
国,○,クモハ101-151,1962.11.16,汽車会社,品川,,1969.03.05,津田沼,1983.02.22,クモヤ145-109,
国,○,クモハ101-152,1962.11.29,汽車会社,品川,,1969.03.30,津田沼,1981.10.29,,
国,○,クモハ101-153,1962.10.31,川崎車両,品川,,1969.11.01,津田沼,1986.12.03,,
,,,,,,,1979.11.15,弁天橋,,,
国,○,クモハ101-154,1962.11.08,川崎車両,品川,,1967.11.17,津田沼,1985.03.22,,
国,○,クモハ101-155,1962.11.16,川崎車両,品川,,1967.11.26,津田沼,1985.03.16,,
,,,,,,,1982.08.23,日根野,,,
国,○,クモハ101-156,1962.11.28,川崎車両,品川,,1967.11.08,津田沼,1982.12.25,,
国,○,クモハ101-157,1962.12.07,川崎車両,品川,,1967.12.21,津田沼,1983.02.25,,
国,○,クモハ101-158,1962.12.17,近畿車両,品川,,1967.04.02,池袋,1976.11.18,クモハ101-1015,
,,,,,,,1969.04.01,中野,,,
,,,,,,,1976.11.18,武蔵小金井,,,
国,○,クモハ101-159,1963.01.11,近畿車両,品川,,1969.03.26,津田沼,1986.09.25,,
,,,,,,,1979.11.15,弁天橋,,,
,,,,,,,1985.03.26,津田沼,,,
,,,,,,,1986.09.01,習志野,,,
国,○,クモハ101-160,1963.02.14,日本車両,品川,,1969.04.04,津田沼,1985.10.31,,
国,東,クモハ101-161,1963.02.14,日本車両,下十条,,1963.10.01,品川,1990.02.06,,
,,,,,,,1969.03.15,津田沼,,,
,,,,,,,1979.11.23,弁天橋,,,
,,,,,,,1988.02.01,中原,,,
国,東,クモハ101-162,1963.02.22,日本車両,下十条,,1963.10.01,品川,1990.05.07,,
,,,,,,,1969.03.21,津田沼,,,
,,,,,,,1979.12.14,弁天橋,,,
,,,,,,,1988.02.01,中原,,,
国,東,クモハ101-163,1963.06.22,日本車両,下十条,,1963.10.01,品川,1991.04.01,,
,,,,,,,1967.04.02,池袋,,,
,,,,,,,1978.03.17,中原,,,
国,東,クモハ101-164,1963.01.11,汽車会社,品川,,1964.10.10,津田沼,1989.09.07,,
,,,,,,,1982.02.05,弁天橋,,,
,,,,,,,1988.02.01,中原,,,
国,東,クモハ101-165,1963.06.20,汽車会社,下十条,,1963.10.01,品川,1991.09.10,,
,,,,,,,1964.09.02,津田沼,,,
,,,,,,,1979.12.14,弁天橋,,,
,,,,,,,1985.03.19,津田沼,,,
,,,,,,,1986.07.18,弁天橋,,,
,,,,,,,1988.02.01,中原,,,
国,○,クモハ101-166,1963.02.08,川崎車両,品川,,1964.10.28,中野,1985.02.28,,
国,東,クモハ101-167,1963.06.21,川崎車両,下十条,,1963.10.01,品川,1989.09.07,,
,,,,,,,1964.10.29,津田沼,,,
,,,,,,,1979.11.15,弁天橋,,,
,,,,,,,1988.02.01,中原,,,
国,東,クモハ101-168,1963.02.19,近畿車両,下十条,,1963.10.01,品川,1991.01.28,,
,,,,,,,1964.11.03,津田沼,,,
,,,,,,,1972.07.29,豊田,,,
,,,,,,,1980.06.27,中原,,,
国,○,クモハ101-169,1963.06.18,近畿車両,下十条,,1963.10.01,品川,1982.02.04,,
,,,,,,,1964.10.10,津田沼,,,
,,,,,,,1979.11.23,弁天橋,,,
国,○,クモハ101-170,1963.08.29,近畿車両,下十条,,1963.10.01,品川,1986.06.11,,
,,,,,,,1964.11.08,津田沼,,,
,,,,,,,1980.01.19,弁天橋,,,
国,○,クモハ101-171,1963.09.10,日本車両,津田沼,,1972.12.29,豊田,1984.03.30,,
,,,,,,,1981.09.01,武蔵小金井,,,
国,東,クモハ101-172,1963.07.19,川崎車両,津田沼,,1979.12.14,弁天橋,1990.05.08,,
,,,,,,,1985.03.27,津田沼,,,
,,,,,,,1986.06.18,弁天橋,,,
,,,,,,,1988.02.01,中原,,,
国,東,クモハ101-173,1963.07.31,川崎車両,下十条,,1963.10.01,品川,1988.06.16,,
,,,,,,,1964.11.01,津田沼,,,
,,,,,,,1980.01.11,弁天橋,,,
,,,,,,,1985.06.18,津田沼,,,
,,,,,,,1986.09.01,習志野,,,
国,○,クモハ101-174,1963.08.30,川崎車両,津田沼,,,,1983.04.19,,
国,東,クモハ101-175,1963.09.13,川崎車両,津田沼,,1972.08.12,豊田,1992.06.01,,
,,,,,,,1980.05.23,中原,,,
国,東,クモハ101-176,1963.08.01,汽車会社,下十条,,1963.10.01,品川,1991.04.01,,
,,,,,,,1964.11.16,中野,,,
,,,,,,,1979.02.08,中原,,,
国,東,クモハ101-177,1963.08.13,汽車会社,下十条,,1963.10.01,品川,1989.06.06,,
,,,,,,,1967.03.29,池袋,,,
,,,,,,,1969.03.23,津田沼,,,
,,,,,,,1979.11.02,弁天橋,,,
,,,,,,,1988.02.01,中原,,,
国,東,クモハ101-178,1963.08.23,汽車会社,下十条,,1963.10.01,品川,1991.10.14,,
,,,,,,,1964.10.27,中野,,,
,,,,,,,1979.05.26,中原,,,
国,○,クモハ101-179,1963.09.05,汽車会社,津田沼,,1979.07.13,淀川,1984.05.25,,
国,東,クモハ101-180,1963.09.18,近畿車両,津田沼,,1979.03.07,中原,2002.11.06,,
国,東,クモハ101-181,1963.10.11,川崎車両,中野,,1979.05.26,中原,1991.04.01,,
国,○,クモハ101-182,1963.10.11,川崎車両,武蔵小金井,,,,1983.08.22,,
国,○,クモハ101-183,1963.10.22,川崎車両,武蔵小金井,,,,1983.03.25,,
国,東,クモハ101-184,1963.10.16,汽車会社,津田沼,,1979.06.01,中原,1991.10.14,,
国,東,クモハ101-185,1963.10.25,汽車会社,津田沼,,1979.04.03,中原,1989.06.19,,
国,東,クモハ101-186,1963.11.13,汽車会社,津田沼,,1970.12.01,浦和,1990.08.28,,
,,,,,,,1975.12.13,中原,,,
国,○,クモハ101-187,1963.11.12,川崎車両,中野,,,,1983.01.21,,
国,東,クモハ101-188,1963.11.12,川崎車両,中野,,1980.12.10,中原,2002.11.06,,
国,東,クモハ101-189,1963.11.20,川崎車両,津田沼,,1979.04.03,中原,1991.09.10,,
国,○,クモハ101-190,1963.12.12,汽車会社,中野,,,,1983.03.21,,
国,東,クモハ101-191,1963.12.23,汽車会社,中野,,1985.03.31,津田沼,1990.07.13,,
,,,,,,,1986.09.01,習志野,,,
,,,,,,,1988.06.28,中原,,,
国,○,クモハ101-192,1965.07.26,日本車両,三鷹,,1966.12.12,武蔵小金井,1986.06.11,,
,,,,,,,1985.03.23,弁天橋,,,
国,東,クモハ101-193,1965.07.26,日本車両,三鷹,,1966.12.12,武蔵小金井,1991.04.01,,
,,,,,,,1984.05.23,津田沼,,,
,,,,,,,1985.03.26,弁天橋,,,
,,,,,,,1988.02.01,中原,,,
国,東,クモハ101-194,1965.08.05,日本車両,三鷹,,1966.12.12,武蔵小金井,1990.12.01,,
,,,,,,,1985.03.16,弁天橋,,,
,,,,,,,1988.02.01,中原,,,
国,東,クモハ101-195,1965.08.05,日本車両,三鷹,,1966.12.12,武蔵小金井,1991.02.08,,
,,,,,,,1985.03.19,弁天橋,,,
,,,,,,,1988.02.01,中原,,,
国,○,クモハ101-196,1965.08.05,日本車両,三鷹,,1966.12.12,武蔵小金井,1984.07.20,クモヤ145-117,
国,東,クモハ101-197,1966.01.17,日本車両,武蔵小金井,,1976.12.02,豊田,1991.04.01,,
,,,,,,,1980.09.12,中原,,,
国,東,クモハ101-198,1966.01.17,日本車両,武蔵小金井,,1976.04.02,豊田,1990.10.01,,
,,,,,,,1980.09.10,中原,,,
国,東,クモハ101-199,1966.02.17,日本車両,武蔵小金井,,1972.07.11,豊田,1991.07.29,,
,,,,,,,1981.10.08,中原,,,
国,東,クモハ101-200,1966.02.17,日本車両,武蔵小金井,,1972.07.29,豊田,1991.05.24,,
,,,,,,,1981.09.30,中原,,,
国,東,クモハ101-201,1965.11.20,川崎車両,森ノ宮,,1976.10.24,淀川,1990.03.30,,
,,,,,,,1985.04.26,津田沼,,,
,,,,,,,1986.09.01,習志野,,,
,,,,,,,1988.03.20,中原,,,
国,東,クモハ101-202,1965.11.27,川崎車両,森ノ宮,,1977.03.15,淀川,1989.02.16,,
,,,,,,,1984.11.01,津田沼,,,
,,,,,,,1986.09.01,習志野,,,
国,西,クモハ101-203,1965.11.27,川崎車両,森ノ宮,,1977.03.15,淀川,1992.02.29,,
,,,,,,,1989.06.19,森ノ宮,,,
国,○,クモハ101-204,1965.12.08,川崎車両,森ノ宮,,1977.03.25,淀川,1987.02.24,,
国,西,クモハ101-205,1965.12.08,川崎車両,森ノ宮,,1976.04.02,淀川,1991.12.01,,
,,,,,,,1989.06.11,森ノ宮,,,
国,東,クモハ101-206,1966.07.21,汽車会社,武蔵小金井,,1966.12.12,豊田,1992.07.01,,
,,,,,,,1980.08.09,中原,,,
国,東,クモハ101-207,1966.07.21,汽車会社,武蔵小金井,,1966.12.12,豊田,1991.09.10,,
,,,,,,,1981.08.28,中原,,,
国,東,クモハ101-208,1966.07.29,汽車会社,武蔵小金井,,1966.12.12,豊田,1992.07.01,,
,,,,,,,1980.08.09,中原,,,
国,東,クモハ101-209,1966.07.29,汽車会社,武蔵小金井,,1966.12.12,豊田,1992.04.02,,
,,,,,,,1981.08.25,中原,,,
国,○,クモハ101-901,1959.06.01,（改番）,三鷹,モハ90501,1969.04.08,豊田,1979.03.23,,
,,,,,,,1972.09.29,中原,,,
国,○,クモハ101-902,1959.06.01,（改番）,三鷹,モハ90503,1978.03.09,中原,1985.03.23,,
国,○,クモハ101-911,1960.03.30,日本車両,武蔵小金井,,,,1964.10.22,クハ101-911,
国,○,クモハ101-1001,1973.01.19,大井工場,豊田,クモハ101-2,,,1986.02.17,,
国,○,クモハ101-1002,1973.02.27,大井工場,豊田,クモハ101-4,,,1985.05.10,,
国,○,クモハ101-1003,1972.12.07,大井工場,武蔵小金井,クモハ101-8,1973.01.24,豊田,1986.02.07,,
国,○,クモハ101-1004,1973.01.18,大井工場,豊田,クモハ101-20,,,1986.12.03,,
国,○,クモハ101-1005,1973.03.22,大井工場,豊田,クモハ101-24,,,1985.07.12,,
国,東,クモハ101-1006,1972.12.07,大井工場,豊田,クモハ101-31,,,1988.06.16,,
国,○,クモハ101-1007,1973.03.14,大井工場,豊田,クモハ101-32,,,1985.06.20,,
国,○,クモハ101-1008,1973.02.03,大井工場,豊田,クモハ101-37,,,1985.05.10,,
国,○,クモハ101-1009,1972.12.27,大井工場,三鷹,クモハ101-45,1973.01.27,豊田,1986.10.04,,
国,○,クモハ101-1010,1972.12.13,大井工場,豊田,クモハ101-55,,,1985.08.15,,
国,○,クモハ101-1011,1972.11.17,大井工場,豊田,クモハ101-58,,,1986.07.18,,
国,○,クモハ101-1012,1977.03.17,大井工場,三鷹,クモハ101-63,1978.09.01,豊田,1985.07.12,,
国,○,クモハ101-1013,1977.02.08,大井工場,三鷹,クモハ101-66,1977.11.18,豊田,1986.06.12,,
国,○,クモハ101-1014,1977.01.19,大井工場,武蔵小金井,クモハ101-107,1977.10.04,豊田,1987.03.30,,
国,○,クモハ101-1015,1976.11.18,大井工場,武蔵小金井,クモハ101-158,1978.09.22,豊田,1986.04.30,,
モハ100,,,,,,,,,,,
国,○,モハ100-1,1959.06.01,（改番）,三鷹,モハ90012,1959.11.09,武蔵小金井,1981.02.14,,
,,,,,,,1966.12.12,豊田,,,
,,,,,,,1967.12.19,森ノ宮,,,
,,,,,,,1969.03.26,中野,,,
国,○,モハ100-2,1959.06.01,（改番）,三鷹,モハ90014,1959.11.09,武蔵小金井,1973.01.19,モハ100-1001,
,,,,,,,1966.12.12,豊田,,,
国,○,モハ100-3,1959.06.01,（改番）,三鷹,モハ90016,1959.11.09,武蔵小金井,1983.02.01,,
国,○,モハ100-4,1959.06.01,（改番）,三鷹,モハ90018,1959.11.09,武蔵小金井,1973.02.27,モハ100-1002,
,,,,,,,1966.12.12,豊田,,,
国,○,モハ100-5,1959.06.01,（改番）,三鷹,モハ90020,1959.11.09,武蔵小金井,1982.08.20,,
,,,,,,,1972.12.15,豊田,,,
国,○,モハ100-6,1959.06.01,（改番）,三鷹,モハ90022,1959.11.09,武蔵小金井,1982.11.29,,
国,○,モハ100-7,1959.06.01,（改番）,三鷹,モハ90024,1959.11.09,武蔵小金井,1980.07.07,クル144-7,
国,○,モハ100-8,1959.06.01,（改番）,三鷹,モハ90026,1959.11.09,武蔵小金井,1972.12.07,モハ100-1003,
国,○,モハ100-9,1959.06.01,（改番）,三鷹,モハ90028,1959.11.09,武蔵小金井,1982.07.22,,
,,,,,,,1966.12.12,豊田,,,
,,,,,,,1972.08.23,武蔵小金井,,,
,,,,,,,1972.12.13,豊田,,,
,,,,,,,1981.12.18,武蔵小金井,,,
国,○,モハ100-10,1959.06.01,（改番）,三鷹,モハ90030,1959.11.09,武蔵小金井,1983.03.11,,
国,○,モハ100-11,1959.06.01,（改番）,三鷹,モハ90032,1959.11.09,武蔵小金井,1983.12.07,,
,,,,,,,1961.10.21,森ノ宮,,,
,,,,,,,1977.01.18,淀川,,,
国,○,モハ100-12,1959.06.01,（改番）,三鷹,モハ90034,1959.11.09,武蔵小金井,1984.02.07,,
,,,,,,,1961.10.21,森ノ宮,,,
,,,,,,,1976.09.08,淀川,,,
国,○,モハ100-13,1959.06.01,（改番）,三鷹,モハ90036,1959.11.09,武蔵小金井,1984.11.30,,
,,,,,,,1961.10.21,森ノ宮,,,
,,,,,,,1961.11.18,武蔵小金井,,,
,,,,,,,1962.02.02,淀川,,,
国,○,モハ100-14,1959.06.01,（改番）,三鷹,モハ90038,1959.11.09,武蔵小金井,1982.11.12,,
,,,,,,,1961.10.10,淀川,,,
,,,,,,,1973.08.19,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,モハ100-15,1959.06.01,（改番）,三鷹,モハ90040,1959.11.09,武蔵小金井,1980.07.01,,
,,,,,,,1961.10.10,淀川,,,
,,,,,,,1969.12.06,森ノ宮,,,
,,,,,,,1976.09.25,淀川,,,
国,○,モハ100-16,1959.06.01,（改番）,三鷹,モハ90042,1959.11.09,武蔵小金井,1980.05.30,,
,,,,,,,1961.10.10,森ノ宮,,,
,,,,,,,1976.04.08,淀川,,,
国,○,モハ100-17,1959.06.01,（改番）,三鷹,モハ90044,1959.11.09,武蔵小金井,1983.11.04,,
,,,,,,,1961.10.27,森ノ宮,,,
,,,,,,,1976.04.12,淀川,,,
国,○,モハ100-18,1959.06.01,（改番）,三鷹,モハ90046,1959.11.09,武蔵小金井,1983.09.07,,
,,,,,,,1961.10.21,淀川,,,
国,○,モハ100-19,1959.06.01,（改番）,三鷹,モハ90048,1959.11.09,武蔵小金井,1983.08.01,,
,,,,,,,1961.10.27,淀川,,,
国,○,モハ100-20,1959.06.01,（改番）,三鷹,モハ90050,1959.11.09,武蔵小金井,1982.10.19,,
,,,,,,,1961.10.27,淀川,,,
,,,,,,,1973.08.10,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,モハ100-21,1959.06.01,（改番）,三鷹,モハ90052,1959.11.09,武蔵小金井,1983.02.21,,
,,,,,,,1961.10.27,淀川,,,
,,,,,,,1973.08.24,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,モハ100-22,1959.06.01,（改番）,三鷹,モハ90054,1959.11.09,武蔵小金井,1983.04.27,,
,,,,,,,1961.10.27,森ノ宮,,,
,,,,,,,1977.01.18,淀川,,,
国,○,モハ100-23,1959.06.01,（改番）,三鷹,モハ90056,1959.11.09,武蔵小金井,1973.03.22,モハ100-1004,
,,,,,,,1966.12.12,豊田,,,
国,○,モハ100-24,1959.06.01,（改番）,三鷹,モハ90058,1959.11.09,武蔵小金井,1981.11.27,,
,,,,,,,1966.12.12,豊田,,,
,,,,,,,1979.03.12,武蔵小金井,,,
国,○,モハ100-25,1959.06.01,（改番）,三鷹,モハ90060,1959.11.09,武蔵小金井,1981.02.26,クモヤ145-5,
,,,,,,,1960.11.20,三鷹,,,
,,,,,,,1961.10.30,武蔵小金井,,,
,,,,,,,1966.12.12,豊田,,,
,,,,,,,1976.04.02,武蔵小金井,,,
国,○,モハ100-26,1959.06.01,（改番）,三鷹,モハ90062,1959.11.09,武蔵小金井,1979.03.09,,
,,,,,,,1960.11.20,三鷹,,,
,,,,,,,1961.10.22,武蔵小金井,,,
国,○,モハ100-27,1959.06.01,（改番）,三鷹,モハ90064,1960.10.31,淀川,1985.03.16,,
,,,,,,,1961.04.01,森ノ宮,,,
,,,,,,,1973.06.10,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,モハ100-28,1959.06.01,（改番）,三鷹,モハ90066,1960.10.31,淀川,1982.10.19,,
,,,,,,,1961.04.01,森ノ宮,,,
,,,,,,,1973.07.26,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,モハ100-29,1959.06.01,（改番）,三鷹,モハ90068,1960.10.31,淀川,1983.01.21,,
,,,,,,,1961.04.01,森ノ宮,,,
,,,,,,,1973.08.02,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,モハ100-30,1959.06.01,（改番）,三鷹,モハ90070,1961.10.30,武蔵小金井,1982.03.16,,
国,○,モハ100-31,1959.06.01,（改番）,三鷹,モハ90072,1961.12.26,武蔵小金井,1985.01.19,,
国,○,モハ100-32,1959.06.01,（改番）,三鷹,モハ90074,1961.12.26,武蔵小金井,1973.02.03,モハ100-1005,
,,,,,,,1966.12.12,豊田,,,
国,○,モハ100-33,1959.06.01,（改番）,三鷹,モハ90076,1960.11.11,中野,1972.12.07,モハ100-1006,
,,,,,,,1966.04.28,武蔵小金井,,,
,,,,,,,1966.12.12,豊田,,,
国,○,モハ100-34,1959.06.01,（改番）,三鷹,モハ90078,1962.01.25,武蔵小金井,1980.01.09,クル144-5,
,,,,,,,1966.12.12,豊田,,,
,,,,,,,1973.05.19,中原,,,
国,○,モハ100-35,1959.06.01,（改番）,三鷹,モハ90080,1966.12.12,武蔵小金井,1986.01.25,,
国,○,モハ100-36,1959.06.01,（改番）,三鷹,モハ90082,1960.11.18,中野,1985.02.16,,
,,,,,,,1966.04.28,武蔵小金井,,,
,,,,,,,1982.08.09,日根野,,,
国,○,モハ100-37,1959.06.01,（改番）,三鷹,モハ90084,1960.11.16,中野,1973.03.14,モハ100-1007,
,,,,,,,1966.04.28,三鷹,,,
,,,,,,,1966.12.12,豊田,,,
国,○,モハ100-38,1959.06.01,（改番）,三鷹,モハ90086,1960.11.28,中野,1984.09.27,,
,,,,,,,1966.04.28,武蔵小金井,,,
,,,,,,,1968.03.16,森ノ宮,,,
,,,,,,,1977.03.16,淀川,,,
国,○,モハ100-39,1959.06.01,（改番）,三鷹,モハ90088,1960.11.16,中野,1973.01.18,モハ100-1008,
,,,,,,,1966.04.28,三鷹,,,
,,,,,,,1966.12.12,豊田,,,
国,○,モハ100-40,1959.06.01,（改番）,三鷹,モハ90090,1960.11.18,中野,1982.10.25,,
,,,,,,,1966.04.28,三鷹,,,
,,,,,,,1978.04.19,中原,,,
国,○,モハ100-41,1959.06.01,（改番）,三鷹,モハ90092,1960.11.18,中野,1983.08.23,,
,,,,,,,1966.04.28,三鷹,,,
,,,,,,,1978.03.10,中原,,,
,,,,,,,1982.08.14,日根野,,,
国,○,モハ100-42,1959.06.01,（改番）,三鷹,モハ90094,1960.11.10,中野,1981.08.29,,
,,,,,,,1966.04.28,武蔵小金井,,,
国,○,モハ100-43,1959.06.01,（改番）,三鷹,モハ90096,1960.10.24,中野,1980.08.14,,
,,,,,,,1966.04.28,三鷹,,,
,,,,,,,1966.12.12,豊田,,,
,,,,,,,1972.09.12,中原,,,
国,○,モハ100-44,1959.06.01,（改番）,三鷹,モハ90098,1978.06.24,中原,1982.07.27,,
国,○,モハ100-45,1959.06.01,（改番）,三鷹,モハ90100,1971.04.15,浦和,1984.09.10,,
,,,,,,,1976.03.13,武蔵小金井,,,
,,,,,,,1976.10.07,中野,,,
,,,,,,,1982.09.29,日根野,,,
国,○,モハ100-46,1959.06.01,（改番）,三鷹,モハ90102,1969.04.08,豊田,1980.10.28,,
国,○,モハ100-47,1959.06.01,（改番）,三鷹,モハ90104,1978.06.10,中原,1982.02.04,,
,,,,,,,1981.09.17,弁天橋,,,
国,○,モハ100-48,1959.06.01,（改番）,三鷹,モハ90106,1969.04.08,豊田,1982.11.15,,
,,,,,,,1973.09.18,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,モハ100-49,1959.06.01,（改番）,三鷹,モハ90108,1969.03.08,豊田,1980.07.16,,
,,,,,,,1979.04.19,武蔵小金井,,,
国,○,モハ100-50,1959.06.01,（改番）,三鷹,モハ90110,1961.11.20,武蔵小金井,1982.03.20,クモヤ145-101,
,,,,,,,1966.12.12,豊田,,,
国,○,モハ100-51,1959.06.01,（改番）,三鷹,モハ90112,1969.04.08,豊田,1979.02.28,,
国,○,モハ100-52,1959.06.01,（改番）,三鷹,モハ90114,1969.04.08,中野,1983.08.23,,
,,,,,,,1982.10.01,日根野,,,
国,○,モハ100-53,1959.09.25,日本車両,三鷹,,1969.04.08,豊田,1972.12.13,モハ100-1009,
国,○,モハ100-54,1959.09.25,日本車両,三鷹,,1978.09.01,武蔵小金井,1979.07.17,,
国,○,モハ100-55,1959.10.20,日本車両,三鷹,,1969.04.08,豊田,1972.11.17,モハ100-1010,
国,○,モハ100-56,1959.10.20,日本車両,三鷹,,1961.12.28,武蔵小金井,1981.09.30,,
,,,,,,,1966.12.12,豊田,,,
国,○,モハ100-57,1959.09.29,汽車会社,三鷹,,1961.12.14,池袋,1984.02.21,,
,,,,,,,1965.09.26,中野,,,
国,○,モハ100-58,1959.09.29,汽車会社,三鷹,,1977.12.22,中原,1980.03.06,クル144-6,
国,○,モハ100-59,1959.10.27,汽車会社,三鷹,,1961.12.15,池袋,1986.02.17,,
,,,,,,,1965.09.15,中野,,,
国,○,モハ100-60,1959.10.27,汽車会社,三鷹,,1978.07.07,中原,1980.09.24,,
国,○,モハ100-61,1960.02.12,汽車会社,三鷹,,1966.12.12,武蔵小金井,1979.02.28,,
,,,,,,,1972.09.26,中原,,,
国,○,モハ100-62,1959.09.14,近畿車両,三鷹,,1978.05.17,中原,1981.08.15,,
国,○,モハ100-63,1959.09.14,近畿車両,三鷹,,1970.11.27,浦和,1983.02.18,,
,,,,,,,1975.12.13,中原,,,
国,○,モハ100-64,1959.10.05,近畿車両,三鷹,,1978.06.10,中原,1983.07.21,,
,,,,,,,1979.10.04,武蔵小金井,,,
国,○,モハ100-65,1959.10.05,近畿車両,三鷹,,,,1972.12.27,モハ100-1011,
国,○,モハ100-66,1959.10.05,川崎車両,三鷹,,,,1977.02.08,モハ100-1012,
国,○,モハ100-67,1959.10.05,川崎車両,三鷹,,1961.12.15,池袋,1984.12.15,,
,,,,,,,1965.09.23,中野,,,
国,○,モハ100-68,1959.10.12,川崎車両,三鷹,,1959.11.09,武蔵小金井,1981.10.16,,
,,,,,,,1960.11.20,三鷹,,,
,,,,,,,1970.11.25,浦和,,,
,,,,,,,1977.04.09,豊田,,,
,,,,,,,1978.01.25,中原,,,
国,○,モハ100-69,1959.10.27,川崎車両,三鷹,,1959.11.09,武蔵小金井,1980.06.02,,
,,,,,,,1960.11.20,三鷹,,,
,,,,,,,1961.11.30,武蔵小金井,,,
,,,,,,,1971.03.26,浦和,,,
,,,,,,,1975.12.24,中原,,,
国,○,モハ100-70,1960.02.27,日本車両,三鷹,,,,1977.03.17,モハ100-1013,
国,○,モハ100-71,1960.02.27,日本車両,三鷹,,1969.04.08,豊田,1981.12.24,,
国,○,モハ100-72,1960.02.27,日本車両,三鷹,,1977.12.16,中原,1983.03.09,,
国,○,モハ100-73,1960.02.27,日本車両,三鷹,,1969.04.08,豊田,1983.03.12,,
,,,,,,,1980.05.08,武蔵小金井,,,
国,○,モハ100-74,1960.02.27,汽車会社,三鷹,,1978.01.12,中原,1982.06.28,,
国,○,モハ100-75,1960.02.24,川崎車両,三鷹,,1978.05.17,中原,1983.02.21,,
国,○,モハ100-76,1960.05.27,汽車会社,武蔵小金井,,,,1983.12.22,,
国,○,モハ100-77,1960.05.27,汽車会社,武蔵小金井,,1966.12.12,豊田,1984.06.20,,
,,,,,,,1972.08.15,武蔵小金井,,,
国,○,モハ100-78,1960.06.22,汽車会社,武蔵小金井,,,,1982.11.29,,
国,○,モハ100-79,1961.02.28,日本車両,淀川,,1961.04.01,森ノ宮,1981.03.27,クル144-11,
,,,,,,,1976.07.10,淀川,,,
国,○,モハ100-80,1961.02.28,日本車両,淀川,,1961.04.01,森ノ宮,1982.11.18,,
,,,,,,,1976.03.11,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,モハ100-81,1961.02.28,日本車両,淀川,,1961.04.01,森ノ宮,1982.12.14,,
,,,,,,,1973.09.05,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,モハ100-82,1961.02.25,川崎車両,淀川,,1961.04.01,森ノ宮,1982.12.14,,
,,,,,,,1973.09.20,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,モハ100-83,1961.03.15,川崎車両,淀川,,1961.04.01,森ノ宮,1983.04.27,,
,,,,,,,1973.09.20,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,モハ100-84,1961.03.06,汽車会社,淀川,,1961.04.01,森ノ宮,1983.03.24,,
,,,,,,,1973.09.12,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,モハ100-85,1961.03.23,汽車会社,淀川,,1961.04.01,森ノ宮,1983.08.23,,
,,,,,,,1973.09.10,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,モハ100-86,1961.03.10,近畿車両,淀川,,1961.04.01,森ノ宮,1984.01.19,,
,,,,,,,1976.10.24,淀川,,,
国,○,モハ100-87,1961.03.20,近畿車両,淀川,,1961.04.01,森ノ宮,1984.06.22,,
,,,,,,,1973.09.14,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,モハ100-88,1961.07.15,日本車両,武蔵小金井,,,,1983.11.17,,
国,○,モハ100-89,1961.08.03,日本車両,武蔵小金井,,,,1984.03.01,,
国,○,モハ100-90,1961.08.12,日本車両,武蔵小金井,,,,1983.03.15,クモヤ145-113,
国,○,モハ100-91,1961.10.12,日本車両,池袋,,1965.05.18,津田沼,1984.11.30,,
,,,,,,,1968.03.16,森ノ宮,,,
,,,,,,,1977.03.16,淀川,,,
国,○,モハ100-92,1961.10.12,日本車両,池袋,,1965.04.19,津田沼,1977.01.19,モハ100-1014,
,,,,,,,1971.03.22,浦和,,,
,,,,,,,1976.03.13,武蔵小金井,,,
国,○,モハ100-93,1961.09.29,川崎車両,武蔵小金井,,,,1984.02.10,クモヤ145-122,
国,○,モハ100-94,1961.10.12,川崎車両,武蔵小金井,,,,1983.03.25,,
国,○,モハ100-95,1961.10.06,汽車会社,池袋,,1964.12.03,中野,1983.12.10,,
国,○,モハ100-96,1961.10.06,汽車会社,池袋,,1969.03.06,津田沼,1982.12.25,,
,,,,,,,1972.09.22,中原,,,
